"------------------------------------------------------------------------------------------"
"  Daily average CO2 concentrations (ppm) derived from flask air samples and in situ (continuous) data."
"  For South Pole: Latitude 90.0S Elevation 2810m"
"  In situ data is sporadically used only during a limited time period from 1960 to 1963"
"  Outside this period, the record is entirely flask-based"
"                                                                                           "
"   Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                 "
"   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
"   Scripps Institution of Oceanography (SIO)                                               "
"   University of California                                                                "
"   La Jolla, California USA 92093-0244                                                     "
"                                                                                           "
"   Status of data and correspondence:                                                      "
"                                                                                           "
"   These data are subject to revision based on recalibration of standard gases. Questions  "
"   about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and          "
"   and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                  "
"                                                                                           "
"Flask data in this from archive dated 2019-11-20 14:23:02                                  "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"   Please cite as:                                                                         "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and "
"   oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps  "
"   Institution of Oceanography, San Diego, 88 pages, 2001.                                 "
"                                                                                           "
"   If it is necessary to cite a peer-reviewed article, please cite as:                     "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and     "
"   oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,     "
"   in 'A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems',   "
"   editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,               "
"   New York, 2005.                                                                         "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"   Sampling dates are reported in 3 formats: Year, Month, Day, Hour and Minute             "
"                                             M$Excel spreadsheet date format               "
"                                             Decimal year and fractional year              "
" NC   - Number of flasks used in daily average                                             "
"                                                                                           "
"                                                                                           "
" FGC -   Flags                                                                             "
"  -3 - Potentially Suspect Data Accepted                                                   "
"  -2 - Accepted value from continuous analyzer replacing flask data                        "
"  -1 - Accepted Value retained although individual measurements deviated                   "
"       by more than selected tolerance                                                     "
"   0 - Accepted Value                                                                      "
"   1 - Rejected during analysis                                                            "
"   2 - Rejected unacceptably large flask-analyzer differences associated                   "
"                with night sampling (used only at MLO between Dec 1962 and Sep 1968)       "
"   3 - Rejected flask measurement; used continuous data instead                            "
"   4 - Rejected Replicates do not agree to selected tolerance or single flask              "
"   5 - Rejected Daily average deviates from fit by more than 3 standard deviations         "
"   6 - Rejected to improve local distribution of data such as too many                     "
"                data of generally poor quality (used only at two stations:                 "
"                KUM Aug 1979 - Jun 1980 and LJO Apr 1979 - Sep 1985)                       "
"   7 - Rejected Unsteady air at site (La Jolla only)                                       "
"   8 - Rejected manually (see input/flag_flasks.csv)                                       "
"                                                                                           "
" Averages for CO2 have been succesfully filtered by deviation from curve fit.              "
"                                                                                           "
"                                                                                           "
"  Cx - CO2 value (ppm)                                                                     "
"          CO2 concentrations are measured on the '08A' Calibration Scale                   "
"                                                                                           "
"   Sample,Sample,    Excel,   Sample, NC,FGC,      Cx"
"     Date,  Time,     Date,     Date,"
1957-05-17, 17:00, 20957.71, 1957.375,  1,  4, 314.95
1957-06-17, 00:00, 20988.00, 1957.458,  1,  0, 312.80
1957-09-02, 17:50, 21065.74, 1957.671,  2,  5, 312.96
1957-09-23, 06:00, 21086.25, 1957.727,  4,  5, 313.44
1957-12-22, 00:00, 21176.00, 1957.973,  1,  0, 314.46
1957-12-23, 00:00, 21177.00, 1957.975,  1,  0, 314.46
1958-03-21, 00:00, 21265.00, 1958.216,  1,  0, 314.36
1958-03-22, 06:30, 21266.27, 1958.220,  2,  0, 314.26
1958-06-20, 00:00, 21356.00, 1958.466,  1,  0, 314.55
1958-06-21, 13:00, 21357.54, 1958.470,  2,  5, 315.17
1958-09-27, 00:00, 21455.00, 1958.737,  1,  0, 315.34
1958-09-28, 00:00, 21456.00, 1958.740,  1,  0, 315.38
1958-09-29, 12:00, 21457.50, 1958.744,  1,  4, 316.31
1959-01-06, 13:30, 21556.56, 1959.015,  1,  4, 315.62
1959-01-08, 00:00, 21558.00, 1959.019,  1,  0, 314.99
1959-01-12, 00:00, 21562.00, 1959.030,  1,  0, 315.19
1959-01-28, 00:00, 21578.00, 1959.074,  1,  0, 315.07
1959-02-15, 14:23, 21596.60, 1959.125,  2,  0, 315.13
1959-03-15, 00:15, 21624.01, 1959.200,  2,  0, 315.16
1959-03-30, 06:13, 21639.26, 1959.242,  2,  0, 315.02
1959-04-16, 13:15, 21656.55, 1959.289,  2,  5, 316.47
1959-04-30, 13:00, 21670.54, 1959.328,  2,  4, 316.87
1959-05-15, 13:30, 21685.56, 1959.369,  1,  4, 316.23
1959-05-30, 13:15, 21700.55, 1959.410,  2,  4, 316.95
1959-06-15, 13:15, 21716.55, 1959.454,  2,  4, 317.14
1959-06-30, 13:15, 21731.55, 1959.495,  2,  4, 317.56
1959-07-15, 13:50, 21746.58, 1959.536,  1,  4, 316.60
1959-07-30, 13:25, 21761.56, 1959.577,  2,  4, 316.83
1959-08-15, 13:15, 21777.55, 1959.621,  2,  5, 316.78
1959-08-30, 00:00, 21792.00, 1959.660,  1,  0, 316.10
1959-09-18, 00:00, 21811.00, 1959.712,  1,  0, 316.30
1959-09-30, 00:00, 21823.00, 1959.745,  1,  0, 316.22
1959-11-09, 13:15, 21863.55, 1959.856,  2,  0, 316.45
1959-11-10, 00:00, 21864.00, 1959.858,  1,  0, 316.33
1959-11-11, 13:15, 21865.55, 1959.862,  2,  0, 316.54
1959-11-12, 13:15, 21866.55, 1959.865,  2,  0, 316.38
1959-11-13, 13:15, 21867.55, 1959.867,  2,  0, 316.59
1959-11-14, 00:00, 21868.00, 1959.868,  1,  0, 316.12
1959-11-15, 06:23, 21869.27, 1959.872,  4,  0, 316.28
1959-11-17, 00:00, 21871.00, 1959.877,  1,  0, 316.16
1959-11-18, 00:00, 21872.00, 1959.879,  1,  0, 316.16
1959-11-25, 09:29, 21879.39, 1959.900,  4,  0, 316.14
1960-03-15, 12:00, 21990.50, 1960.204,  2,  4, 347.70
1960-03-30, 12:00, 22005.50, 1960.245,  2,  4, 351.79
1960-04-04, 12:00, 22010.50, 1960.258,  2,  4, 317.94
1960-04-30, 12:00, 22036.50, 1960.329,  2,  4, 318.89
1960-05-19, 12:00, 22055.50, 1960.381,  2,  4, 318.90
1960-06-01, 12:00, 22068.50, 1960.417,  2,  4, 327.80
1960-06-04, 00:00, 22071.00, 1960.423,  1, -2, 316.31
1960-06-15, 12:00, 22082.50, 1960.455,  2,  3, 324.63
1960-07-02, 00:00, 22099.00, 1960.500,  1, -2, 316.56
1960-07-15, 12:00, 22112.50, 1960.537,  2,  3, 330.22
1960-08-01, 12:00, 22129.50, 1960.583,  3,  3, 327.80
1960-08-07, 00:00, 22135.00, 1960.598,  1, -2, 316.82
1960-08-17, 12:00, 22145.50, 1960.627,  2,  3, 318.26
1960-08-19, 00:00, 22147.00, 1960.631,  1, -2, 316.63
1960-08-30, 12:00, 22158.50, 1960.663,  1,  3, 317.90
1960-09-15, 12:00, 22174.50, 1960.706,  2,  3, 326.41
1960-09-30, 12:00, 22189.50, 1960.747,  2,  3, 318.55
1960-10-15, 12:00, 22204.50, 1960.788,  3,  3, 336.55
1960-10-30, 12:00, 22219.50, 1960.829,  4,  3, 332.19
1960-11-15, 12:00, 22235.50, 1960.873,  3,  3, 327.59
1961-02-02, 12:10, 22314.51, 1961.089,  1,  3, 317.03
1961-02-28, 12:24, 22340.52, 1961.160,  2,  0, 316.92
1961-03-16, 12:30, 22356.52, 1961.204,  1,  3, 327.27
1961-04-02, 12:23, 22373.52, 1961.251,  3,  3, 318.91
1961-04-04, 14:53, 22375.62, 1961.256,  2,  3, 318.28
1961-05-01, 15:17, 22402.64, 1961.331,  2,  5, 317.18
1961-05-18, 16:44, 22419.70, 1961.377,  2,  3, 317.69
1961-05-25, 00:00, 22426.00, 1961.395,  1, -2, 316.84
1961-05-31, 12:10, 22432.51, 1961.412,  2,  3, 317.18
1961-06-08, 00:00, 22440.00, 1961.433,  1, -2, 316.72
1961-06-23, 00:00, 22455.00, 1961.474,  1, -2, 317.01
1961-07-04, 15:05, 22466.63, 1961.506,  2,  3, 317.26
1961-07-08, 00:00, 22470.00, 1961.515,  1, -2, 316.86
1961-07-23, 00:00, 22485.00, 1961.556,  1, -2, 317.03
1961-08-04, 14:27, 22497.60, 1961.591,  2,  3, 334.40
1961-08-07, 00:00, 22500.00, 1961.597,  1, -2, 317.24
1961-08-18, 00:22, 22511.01, 1961.627,  2,  3, 318.78
1961-08-27, 00:00, 22520.00, 1961.652,  1, -2, 317.49
1961-09-01, 03:17, 22525.14, 1961.666,  2,  3, 318.46
1961-09-05, 00:00, 22529.00, 1961.677,  1, -2, 317.83
1961-09-15, 00:00, 22539.00, 1961.704,  1, -2, 317.47
1961-10-05, 12:04, 22559.50, 1961.760,  2,  3, 317.90
1961-10-18, 00:00, 22572.00, 1961.795,  1, -2, 317.95
1961-10-27, 00:00, 22581.00, 1961.819,  1, -2, 317.51
1961-11-08, 00:00, 22593.00, 1961.852,  1, -2, 317.76
1961-11-22, 09:15, 22607.39, 1961.891,  1,  3, 319.23
1961-11-23, 00:00, 22608.00, 1961.893,  1, -2, 317.97
1961-12-08, 00:00, 22623.00, 1961.934,  1, -2, 317.75
1961-12-20, 09:23, 22635.39, 1961.968,  2,  3, 320.87
1961-12-23, 00:00, 22638.00, 1961.975,  1, -2, 317.58
1962-01-10, 00:00, 22656.00, 1962.025,  1, -2, 317.49
1962-01-18, 21:33, 22664.90, 1962.049,  2,  3, 318.79
1962-02-08, 00:00, 22685.00, 1962.104,  1, -2, 317.31
1962-02-22, 00:00, 22699.00, 1962.142,  1, -2, 317.22
1962-03-05, 09:55, 22710.41, 1962.174,  2,  3, 318.99
1962-03-08, 00:00, 22713.00, 1962.181,  1, -2, 317.09
1962-03-23, 00:00, 22728.00, 1962.222,  1, -2, 317.03
1962-04-05, 19:50, 22741.83, 1962.260,  2,  3, 319.12
1962-04-08, 00:00, 22744.00, 1962.266,  1, -2, 317.03
1962-04-23, 00:00, 22759.00, 1962.307,  1, -2, 317.20
1962-05-07, 18:38, 22773.78, 1962.347,  2,  3, 318.14
1962-05-08, 00:00, 22774.00, 1962.348,  1, -2, 317.10
1962-05-22, 00:00, 22788.00, 1962.386,  1, -2, 317.26
1962-06-08, 00:00, 22805.00, 1962.433,  1, -2, 317.33
1962-06-11, 05:35, 22808.23, 1962.442,  2,  3, 320.02
1962-06-28, 00:00, 22825.00, 1962.488,  1, -2, 317.22
1962-07-09, 00:00, 22836.00, 1962.518,  1, -2, 317.16
1962-07-14, 04:50, 22841.20, 1962.532,  2,  3, 322.87
1962-07-23, 00:00, 22850.00, 1962.556,  1, -2, 317.41
1962-07-24, 06:18, 22851.26, 1962.560,  2,  3, 322.49
1962-08-06, 14:08, 22864.59, 1962.596,  2,  3, 323.84
1962-08-08, 00:00, 22866.00, 1962.600,  1, -2, 317.53
1962-08-23, 00:00, 22881.00, 1962.641,  1, -2, 317.75
1962-08-31, 05:03, 22889.21, 1962.664,  2,  3, 319.05
1962-09-07, 00:00, 22896.00, 1962.682,  1, -2, 317.99
1962-09-13, 18:37, 22902.78, 1962.701,  2,  3, 318.19
1962-09-23, 00:00, 22912.00, 1962.726,  1, -2, 318.14
1962-10-10, 13:15, 22929.55, 1962.774,  2,  3, 319.57
1962-10-14, 13:40, 22933.57, 1962.785,  2,  3, 321.41
1962-10-19, 15:38, 22938.65, 1962.799,  2,  3, 322.45
1962-11-05, 04:13, 22955.18, 1962.844,  2,  3, 319.98
1962-11-08, 06:35, 22958.27, 1962.853,  3,  3, 319.49
1962-12-08, 00:00, 22988.00, 1962.934,  1,  5, 318.69
1962-12-23, 00:00, 23003.00, 1962.975,  1,  0, 318.57
1963-01-08, 00:00, 23019.00, 1963.019,  1, -2, 318.31
1963-01-23, 00:00, 23034.00, 1963.060,  1, -2, 317.95
1963-02-06, 06:06, 23048.25, 1963.099,  2,  3, 319.19
1963-02-08, 00:00, 23050.00, 1963.104,  1, -2, 317.88
1963-02-21, 23:48, 23063.99, 1963.142,  2,  3, 322.61
1963-02-22, 00:00, 23064.00, 1963.142,  1, -2, 317.86
1963-02-25, 03:31, 23067.15, 1963.151,  2,  3, 321.95
1963-03-01, 02:56, 23071.12, 1963.162,  2,  3, 323.32
1963-03-08, 00:00, 23078.00, 1963.181,  1, -2, 317.59
1963-03-15, 12:11, 23085.51, 1963.201,  1,  3, 318.59
1963-03-23, 00:00, 23093.00, 1963.222,  1, -2, 317.36
1963-04-01, 07:54, 23102.33, 1963.247,  2,  3, 319.71
1963-04-15, 10:25, 23116.43, 1963.286,  2,  3, 318.13
1963-04-16, 00:00, 23117.00, 1963.288,  1, -2, 317.73
1963-04-25, 00:00, 23126.00, 1963.312,  1, -2, 318.11
1963-05-01, 08:00, 23132.33, 1963.330,  1,  3, 318.04
1963-05-06, 00:53, 23137.04, 1963.343,  2,  3, 318.14
1963-05-08, 00:00, 23139.00, 1963.348,  1,  0, 318.36
1963-05-15, 14:30, 23146.60, 1963.369,  2,  3, 320.90
1963-05-22, 04:27, 23153.19, 1963.387,  1,  3, 326.35
1963-05-23, 00:00, 23154.00, 1963.389,  1, -2, 318.17
1963-06-01, 09:35, 23163.40, 1963.415,  2,  3, 318.34
1963-06-05, 00:00, 23167.00, 1963.425,  1, -2, 318.20
1963-06-10, 13:14, 23172.55, 1963.440,  2,  3, 320.98
1963-06-11, 23:47, 23173.99, 1963.444,  2,  3, 318.41
1963-06-14, 01:40, 23176.07, 1963.450,  2,  3, 318.28
1963-06-23, 00:00, 23185.00, 1963.474,  1, -2, 318.23
1963-07-01, 16:29, 23193.69, 1963.498,  2,  3, 318.36
1963-07-07, 00:00, 23199.00, 1963.512,  1, -2, 318.32
1963-07-11, 09:30, 23203.40, 1963.524,  1,  3, 318.09
1963-07-14, 02:14, 23206.09, 1963.532,  2,  3, 319.03
1963-07-20, 03:07, 23212.13, 1963.548,  2,  3, 318.14
1963-07-24, 00:00, 23216.00, 1963.559,  1, -2, 318.21
1963-08-01, 14:09, 23224.59, 1963.582,  2,  3, 318.09
1963-08-02, 21:02, 23225.88, 1963.586,  2,  3, 318.72
1963-08-08, 00:00, 23231.00, 1963.600,  1, -2, 318.57
1963-08-17, 01:58, 23240.08, 1963.625,  2,  3, 318.95
1963-09-01, 18:16, 23255.76, 1963.668,  2,  3, 318.95
1963-09-08, 18:32, 23262.77, 1963.687,  2,  3, 318.47
1963-09-15, 21:51, 23269.91, 1963.707,  2,  3, 318.09
1963-09-22, 00:00, 23276.00, 1963.723,  1, -2, 318.58
1963-09-24, 23:38, 23278.98, 1963.731,  2,  3, 318.60
1963-10-01, 23:35, 23285.98, 1963.751,  2,  3, 336.93
1963-10-04, 01:20, 23288.06, 1963.756,  2,  3, 319.00
1963-10-11, 00:00, 23295.00, 1963.775,  1, -2, 318.92
1963-10-15, 06:58, 23299.29, 1963.787,  2,  3, 319.38
1963-10-19, 00:00, 23303.00, 1963.797,  1, -2, 319.07
1963-10-29, 02:02, 23313.08, 1963.825,  2,  0, 319.20
1963-10-30, 02:47, 23314.12, 1963.828,  2,  0, 318.89
1963-10-31, 21:12, 23315.88, 1963.833,  2,  0, 318.87
1965-02-01, 13:00, 23774.54, 1965.086,  2,  0, 318.90
1965-02-06, 12:18, 23779.51, 1965.100,  3,  4, 318.84
1965-02-15, 12:57, 23788.54, 1965.125,  2,  0, 318.55
1965-02-17, 12:30, 23790.52, 1965.130,  1,  4, 318.61
1965-03-01, 12:40, 23802.53, 1965.163,  2,  0, 318.57
